team_sbr,team_model,park_model
LAA,Angels,AL
HOU,Astros,AL
OAK,Athletics,AL
TOR,Blue Jays,AL
ATL,Braves,NL
MIL,Brewers,NL
STL,Cardinals,NL
CHC,Cubs,NL
ARI,Diamondbacks,NL
LAD,Dodgers,NL
SF,Giants,NL
CLE,Indians,AL
SEA,Mariners,AL
MIA,Marlins,NL
NYM,Mets,NL
WSH,Nationals,NL
BAL,Orioles,AL
SD,Padres,NL
PHI,Phillies,NL
PIT,Pirates,NL
TEX,Rangers,AL
TB,Rays,AL
BOS,Red Sox,AL
CIN,Reds,NL
COL,Rockies,NL
KC,Royals,AL
DET,Tigers,AL
MIN,Twins,AL
CWS,White Sox,AL
NYY,Yankees,AL
